File,Game
Hitster Original,hitster-il.csv
Hitster Bingo,hitster-pt-aaaa0022.csv
Hitster Original - 100% Franco,hitster-ca-aaad0002.csv
Hitster Original,hitster-us.csv
Hitster Bingo,hitster-gb-aaaa0021.csv
Hitster Original,hitster-nz.csv
Hitster Bingo,hitster-nl-aaaa0020.csv
Hitster Bingo,hitster-de-aaaa0019.csv
Hitster Bingo,hitster-fr-aaaa0018.csv
Hitster Bingo,hitster-es-aaaa0017.csv
Hitster Original - Guilty Pleasures,hitster-de-aaaa0015.csv
Hitster Original,hitster-ch.csv
Hitster Original  - Summer Party,hitster-es-aaaa0013.csv
Hitster Original  - Summer Party,hitster-de-aaaa0012.csv
Hitster Original  - Summer Party,hitster-nl-aaaa0011.csv
Hitster Original,hitster-hu.csv
Hitster Original (2nd Edition),hitster-pl-aaae0002.csv
Hitster Original - Tubes 100% Français,hitster-fr-aaaa0010.csv
Hitster Original,hitster-kr.csv
Hitster Original,hitster-au.csv
Hitster Original,hitster-fr.csv
Hitster Original,hitster-es.csv
Hitster Original,hitster-de.csv
Hitster Original,hitster-nl.csv
Hitster Original,hitster-gr.csv
Hitster Original,hitster-pl.csv
Hitster Original,hitster-ca.csv
Hitster Original,hitster-it.csv
Hitster Original (Amazon),hitster-us-aaab0003.csv
Hitster Original,hitster-mx.csv
Hitster Original,hitster-us.csv
Hitster Original - Guilty Pleasures,hitster-nl-aaaa0006.csv
Hitster Original - Temazos,hitster-es-aaaa0008.csv
Hitster Original - Schlager Party,hitster-de-aaaa0007.csv
Hitster Original,hitster-pt.csv
Hitster Original,hitster-gb.csv
