Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
1,Sie war erst siebzehn (und neu in der Stadt),Frank Farian,1979,https://www.youtube.com/watch?v=qw7KJ6fwxyQ,88a4898fdcebeb9d428c91b3b4d86d01a21ca6dd946c136a8e720c63cf70dd21,Frank Farian - Sie war erst siebzehn (und neu in der Stadt)
2,Some Nights,fun.,2012,https://www.youtube.com/watch?v=qQkBeOisNM0,214924bfb40cb02fad11a4486c2e220c9866b7553d5b41e3189613fc915f74e9,Fun.: Some Nights [OFFICIAL VIDEO]
3,Daylight in Your Eyes (Radio Version),No Angels,2001,https://www.youtube.com/watch?v=L75D2i7wkdE,15c8110f858b9d06a81b7dbbf2e5355ddaba35257b585033f6f26ac0152a4f10,No Angels - Daylight In Your Eyes (Official Video)
4,Smooth Operator - Single Version,Sade,1984,https://www.youtube.com/watch?v=4TYv2PhG89A,43d3585fef9a1c0564411f1fda02fe97eeed46210d8b4c50ea2fc261aa240250,Sade - Smooth Operator - Official - 1984
5,Stimme,EFF,2015,https://www.youtube.com/watch?v=QRs33vbhyvA,3b5317d6391bc6dcff99fdf4e5bbda982982070a8225c3e6e182195609aa121e,EFF - Stimme (Official Video)
6,Taschenrechner - 2009 Remaster,Kraftwerk,1981,https://www.youtube.com/watch?v=nsNy_P4_9rw,8f9152c9f867ce021a11958021b84e2ad51cc4acedf43f5de78c8d2225b650d4,Taschenrechner (2009 Remaster)
7,Cheri Cheri Lady,Modern Talking,1985,https://www.youtube.com/watch?v=eNvUS-6PTbs,a66dff5c6e8165dfff7abb6f5c0606b5103936166f302870523fde6632238e03,Modern Talking - Cheri Cheri Lady (Official Video)
8,Beggin (original version),Madcon,2007,https://www.youtube.com/watch?v=zrFI2gJSuwA,064fbb7ebd478d180d918da15035872212e2085863c2fb28258bc9f5e67afecb,Madcon - Beggin
9,Bohemian Like You,The Dandy Warhols,2000,https://www.youtube.com/watch?v=CU3mc0yvRNk,ba396ccdc1a3ba43e751c44c6796e7c4aa43284f2673b222106e47ecbb37625b,The Dandy Warhols - Bohemian Like You
10,An Tagen wie diesen,Fettes Brot,2005,https://www.youtube.com/watch?v=fbChSuSQIo4,fa35e914680a79ac24c7f3088a19db887d3f88ee026dbcda8a00da23ea94deae,Fettes Brot - An Tagen wie diesen (Official)
11,If You Tolerate This Your Children Will Be Next,Manic Street Preachers,1998,https://www.youtube.com/watch?v=cX8szNPgrEs,4bd1749e4433539c95b766fb36ae20dd7f6c1fc6907826ab0e45406882c59111,Manic Street Preachers - If You Tolerate This Your Children Will Be Next (Official Video)
12,abcdefu,GAYLE,2021,https://www.youtube.com/watch?v=NaFd8ucHLuo,66e8517db362e2a13f2dd4db56525de90c512fde7d87b196ddea113046100e56,GAYLE - abcdefu (Official Music Video)
13,Happier,Marshmello,2018,https://www.youtube.com/watch?v=m7Bc3pLyij0,4fe63521328f66ef52c42b3f7d7ead338f8fc9d9167e01f4d94ffb7542327158,Marshmello ft. Bastille - Happier (Official Music Video)
14,Unstoppable,Sia,2016,https://www.youtube.com/watch?v=YaEG2aWJnZ8,d7e81c6ad2ece4f5954a4a670e44e09d868ed91aa658b4084810ceab017b2d1e,Sia - Unstoppable (Official Video - Live from the Nostalgic For The Present Tour)
15,Walkin' On The Sun,Smash Mouth,1997,https://www.youtube.com/watch?v=LQj--Kjn0z8,0f66a11271b93df240836e15123be8eebe5b0f83bb25547fc26b4521c56b2e72,Smash Mouth - Walkin' On The Sun
16,Te Felicito,Shakira,2022,https://www.youtube.com/watch?v=4I25nV9hXGA,9e909daacadfd17031d4b58e07917dfc65bf675c9ebb79341245dc7d79dcda62,"Shakira, Rauw Alejandro - Te Felicito (Official Video)"
17,Verpiss dich,Tic Tac Toe,1996,https://www.youtube.com/watch?v=8rhLnlNJJ5g,e5d91a8f00bc79afe68938ddae1c1868d7fc4700b6e0dcc690e8ac8eafb72c62,Tic Tac Toe - Verpiss Dich (Official HD Video 1996)
18,Flugzeuge im Bauch - Radio Mix,Oli. P,1998,https://www.youtube.com/watch?v=gTg3TIAmFUk,aae19a51c24f3ae1ccc62c0ae49e1fc18be00baa500774295f6b18a9a2a58280,Oli.P - Flugzeuge im Bauch (Official Video) (VOD)
19,Locked out of Heaven,Bruno Mars,2012,https://www.youtube.com/watch?v=e-fA-gBCkj0,693f1491d03fbe707b857ff39abe0fce802699eb35ced5223b6eb17da19325bf,Bruno Mars - Locked Out Of Heaven (Official Music Video)
20,Stronger (What Doesn't Kill You),Kelly Clarkson,2011,https://www.youtube.com/watch?v=Xn676-fLq7I,444395c9e062ef7b8b4efbaa6217d0dfc15ba59e98c20090bacbc9c88cdb905c,Kelly Clarkson - Stronger (What Doesn't Kill You) [Official Video]
21,My Immortal,Evanescence,2003,https://www.youtube.com/watch?v=5anLPw0Efmo,a08261fa4c4e19e2d95f25a5570dd8018207cf8983c9b8eb67f3edc1325d7f5e,Evanescence - My Immortal (Official HD Music Video)
22,Give Me Everything (feat. Nayer),Pitbull,2011,https://www.youtube.com/watch?v=EPo5wWmKEaI,4823ed982ea4739b44fa8ba7393b7b0fad45a1d8967e32d3a3e674452bafdba4,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer"
23,Alright,Supergrass,1995,https://www.youtube.com/watch?v=qUE4oDunYkc,ce35cbf6082d3a569dc5e8695ee655280e3c5e61539d3a559b7b81fb023a3ad0,Supergrass - Alright (Official HD Video)
24,Troublemaker (feat. Flo Rida),Olly Murs,2012,https://www.youtube.com/watch?v=4aQDOUbErNg,ccd09201ea5a9115ad5bcf96b8394ba02797a1b436fbc17a589280d762b534b7,Olly Murs - Troublemaker ft. Flo Rida
25,Be My Baby,Vanessa Paradis,1992,https://www.youtube.com/watch?v=WXnR7iZy0ZM,356e1fdc1915edab5eda4c4856623d9432a3dd9513980a32f5d85891ac8dde94,Vanessa Paradis - Be My Baby
26,Time After Time,Cyndi Lauper,1983,https://www.youtube.com/watch?v=VdQY7BusJNU,3fe5b4aa747a8f3813c3d617388f59e69f3817ac506c29adbe462a710fa44ddf,Cyndi Lauper - Time After Time (Official HD Video)
27,Corazon Espinado (feat. Mana),Santana,1999,https://www.youtube.com/watch?v=t6omUxqhG78,e9759d9a31a0db41a4ab7cc03db17c741cf620186f78129d23a61b24ee7c658a,Santana - Corazon Espinado (Official Video) ft. Mana
28,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,https://www.youtube.com/watch?v=GgnClrx8N2k,4583651f3548c80b40ebdefce56dce214d38212e818eda996d0e8cf4f690f44e,The Rolling Stones - Sympathy For The Devil (Official Lyric Video)
29,Jubel - Radio Edit,Klingande,2013,https://www.youtube.com/watch?v=l5ojX-Z9hNk,9b27af52ea2e0eee0e48e75e033f8870cc201fa4df0748e437777f4dd2490f67,Klingande - Jubel (Official Music Video)
30,Loser,Beck,1994,https://www.youtube.com/watch?v=YgSPaXgAdzE,d3b4756814a9c62ecff47c0af3d9b7af3efafd0dd5b78becb621ef39093372fa,Beck - Loser (Official Music Video)
31,Waiting For Love,Avicii,2015,https://www.youtube.com/watch?v=ZMNekAx3LHI,db9a250b4e51de6e3e7fac45d0ee5f779facdd5a984e58c282b738b1b883b81e,Avicii - Waiting For Love (Official Video)(Black & Whait)
32,Demons,Imagine Dragons,2012,https://www.youtube.com/watch?v=mWRsgZuwf_8,31be90454fba3952d9eb51db06c80c6916c642bd278c159afa5cd84389f0944e,Imagine Dragons - Demons (Official Music Video)
33,That's Not My Name,The Ting Tings,2007,https://www.youtube.com/watch?v=v1c2OfAzDTI,2bff53ffec89e647644686edcf6920481a4bbd35accee6dd2004af5acdbe2ce0,The Ting Tings - That's Not My Name (Official Video)
34,What's Up?,4 Non Blondes,1993,https://www.youtube.com/watch?v=6NXnxTNIWkc,7e536cf8f455b4c09007eb458e45db028c7594ca701d44242ca846b2c1062022,4 Non Blondes - What's Up (Official Music Video)
35,Heat Waves,Glass Animals,2020,https://www.youtube.com/watch?v=mRD0-GxqHVo,cb8f8c1c88bcce933b2614884d93f734f2da233ef847be092d777b47aab46d93,Glass Animals - Heat Waves (Official Video)
36,"Irgendwie, irgendwo, irgendwann",Nena,1984,https://www.youtube.com/watch?v=oMHLkcc9I9c,3dc863f5e300db11fc823875256fe145a8d600b01a1c5a5531ce7d9a2e5c5cc9,NENA | Irgendwie · Irgendwo · Irgendwann [1984] [Offizielles HD Musikvideo]
37,Vermissen (feat. Henning May),Juju,2019,https://www.youtube.com/watch?v=YHbYAUs9JCo,15f815f17346025d90d7b21e1a4f45b363e0e69016fcaec9335b4be1c113f7a7,Juju feat. Henning May - Vermissen (prod. Krutsch) [Official Video]
38,Der Mann im Mond,Gus Backus,1961,https://www.youtube.com/watch?v=F9pNxCcx40c,9e0c2ec5b2b308ff5a354dfea2c14e66559a7efba8bbd3cf4e4499d6c8f9e04c,Der Mann im Mond
39,"Right Here, Right Now",Fatboy Slim,1998,https://www.youtube.com/watch?v=l0i6jBM15Bg,5ce6b09b220a2123df55e26cfcbc91f98029f2d3ca33363f9d2c94342b3b01dc,Fatboy Slim - Right Here Right Now (Official Audio)
40,Ain't Your Mama,Jennifer Lopez,2016,https://www.youtube.com/watch?v=Pgmx7z49OEk,c7475d65d1792e859b1d3a544be0da19476daf69fa99f60074eece33d26fe2ee,Jennifer Lopez - Ain't Your Mama (Official Video)
41,All The Small Things,blink-182,1999,https://www.youtube.com/watch?v=9Ht5RZpzPqw,d2aeaaca4ebc58c2b01634ecf704c99dc4b4de557583cadee430fc5ff1ad8b5b,blink-182 - All The Small Things (Official Music Video)
42,Animals,Maroon 5,2014,https://www.youtube.com/watch?v=qpgTC9MDx1o,4f3e741efbd457e9976aa98963344a167a2e71fdecca75956cff8d3c170c88b1,Maroon 5 - Animals
43,Like a Rolling Stone,Bob Dylan,1965,https://www.youtube.com/watch?v=IwOfCgkyEj0,c3927516c10f39c6e5fede8ca9db777edcf78f5d55c1ae25d682d2acad807e77,Bob Dylan - Like a Rolling Stone (Official Audio)
44,Highway to Hell,AC/DC,1979,https://www.youtube.com/watch?v=l482T0yNkeo,cb3c473a60a96c6c4e498790a7b1158cbac4bf6713c0e5eb02a6c699c9c40c0f,AC/DC - Highway to Hell (Official Video)
45,Breathless,The Corrs,2000,https://www.youtube.com/watch?v=3JyYwlkB9ak,0f3177033fb4427295b42e77df8bb59051e3d5bae055a6b12dc98f755fa54adc,The Corrs - Breathless [Director's Cut] (Official Music Video)
46,My Sweet Lord (2014 Remaster),George Harrison,1970,https://www.youtube.com/watch?v=1EORbL8N-R8,51ec4696f86dfa4d38768958867167f00c62af6943d6a4fdc0ef9b7a3e2de9cd,Billy Preston - My Sweet Lord (Live)
47,Rhythm Is a Dancer,SNAP!,1992,https://www.youtube.com/watch?v=JYIaWeVL1JM,87f176915162eb378f38d6d44539a5337a2abf7a75a03479b6f8054c710a2efd,SNAP! - Rhythm Is A Dancer (Official Music Video)
48,It Must Be Love,Madness,1981,https://www.youtube.com/watch?v=vmezIIrFQmY,93760a536ac8081a1a5758fe7e0144bb0ea84e2d03b1f2a19e6df92e31d0db77,Madness - It Must Be Love (Official HD Video)
49,Für Dich,Yvonne Catterfeld,2003,https://www.youtube.com/watch?v=bf4cUnzNfeQ,c049c5b3ab98492755fd35528789b7484ad2e874f42525a321b4ccec9a65d2da,Für Dich
